N,shd_diff_mean,shd_diff_sem,prec_diff_mean,prec_diff_sem,rec_diff_mean,rec_diff_sem,f1_diff_mean,f1_diff_sem,shd_van_mean,shd_van_sem,shd_bonf_mean,shd_bonf_sem,shd_cimd_mean,shd_cimd_sem,prec_van_mean,prec_van_sem,prec_bonf_mean,prec_bonf_sem,prec_cimd_mean,prec_cimd_sem,rec_van_mean,rec_van_sem,rec_bonf_mean,rec_bonf_sem,rec_cimd_mean,rec_cimd_sem,f1_van_mean,f1_van_sem,f1_bonf_mean,f1_bonf_sem,f1_cimd_mean,f1_cimd_sem,n_eff_mean,n_seeds
500,0.47,0.06269212893420538,6.79824561403508e-05,4.905589209048756e-05,0.02502690493425451,0.003428873224180823,0.015290125574956868,0.002054539259406646,2.59,0.20004797404420752,3.69,0.2805820069538719,3.22,0.27287470762349164,0.9287538534598468,0.007882932696503319,0.9951028199956218,0.0017057156922429776,0.9951708024517621,0.0016835975904778827,0.9358513403623866,0.0061189299359476765,0.8189750044557303,0.010787661974616196,0.8440019093899848,0.01044691256613066,0.9297002220427372,0.005390891940143517,0.8947952496206493,0.006930816931148326,0.9100853751956061,0.006610787584362142,32181.15836747391,100
1000,0.15,0.043519413988924456,-0.000283505108582508,0.0004650835829733787,0.007823524259202009,0.002035621927954889,0.004336636014085793,0.0012056605398048494,2.17,0.17526603155826234,2.39,0.21783832388616875,2.24,0.2070085149275876,0.9357686583880216,0.006316459755022569,0.9923460358590424,0.002204331764461231,0.9920625307504598,0.0021822258914560412,0.9493272132318706,0.005213297366260705,0.8888758947551753,0.008404067891909946,0.8966994190143772,0.008119869041691031,0.9411353472410434,0.004677722212457996,0.9359103622679864,0.005230111051875781,0.9402469982820721,0.005001340907144073,34233.49013046485,100
2000,0.01,0.026571800956288343,-0.0008834586466165417,0.0006330576264756996,0.0014792188805346684,0.001171614500002573,0.00045252243711704,0.0007092463680333595,1.85,0.12978225742925859,1.57,0.16159245406924547,1.56,0.16287815362808153,0.9385131885715476,0.00605163776280039,0.993098314468519,0.0019869574378294794,0.9922148558219025,0.002055622279108312,0.9624788695198626,0.004126924540455872,0.9297892128871785,0.0061881553507635466,0.9312684317677133,0.006078846761625823,0.9488503188495824,0.003831057089082171,0.9594956591627549,0.003814806840911502,0.959948181599872,0.0038095772342877227,37414.74313597999,100
3500,0.06,0.03120476524086304,-0.00013368983957219306,0.0007470166940392248,0.0028957264957264963,0.0011640058945491,0.0014886850486349845,0.0007732932712530854,1.9,0.13446489534747752,1.22,0.14810588622790635,1.16,0.13905888586269394,0.9309125844341317,0.0067415875407501585,0.9952281271910564,0.0018408147239705342,0.9950944373514841,0.0016375449786636517,0.9670068941096518,0.003932131630988085,0.9453410569968014,0.005592784579389459,0.9482367834925278,0.005433442153153713,0.9469318446877998,0.004143866399690047,0.9689738980247605,0.0035098499945452064,0.9704625830733956,0.0033499271651926633,40245.90154261412,100
5000,0.01,0.009999999999999998,0.0,0.0,0.0005000000000000004,0.0005000000000000002,0.0002564102564102566,0.0002564102564102565,1.81,0.14048616884363968,1.02,0.12225160344737629,1.01,0.12267638301439668,0.9314689425414826,0.0069262236413804214,0.996170897441102,0.0013322650720707751,0.996170897441102,0.0013322650720707751,0.9723490151315682,0.003518020631931053,0.9542974850653003,0.00508821600111079,0.9547974850653005,0.005108476596198354,0.9498884504492595,0.004323002112315956,0.9741755558038744,0.003004956482676869,0.9744319660602848,0.003016033784863764,42586.06124046386,100
