seed,N,n_tests,n_eff,mean_red,cimd_alpha_mean,cimd_alpha_std,cimd_alpha_cv,ratio_min,ratio_max,ratio_mean,shd_van,prec_van,rec_van,f1_van,shd_bonf,prec_bonf,rec_bonf,f1_bonf,shd_cimd,prec_cimd,rec_cimd,f1_cimd,cimd_time
2,500,106641,35812.02576455004,0.6641814521192596,1.989570136591822e-06,1.4111239674278477e-06,0.709260729981168,1.0,28.327744997643098,4.24339497872577,6,0.9166666666666666,0.8461538461538461,0.8799999999999999,8,1.0,0.6923076923076923,0.8181818181818181,8,1.0,0.6923076923076923,0.8181818181818181,2.648952007293701
2,1000,106641,36720.98075269687,0.6556579481372373,1.925447816279972e-06,1.2846516188787285e-06,0.667196279232702,1.0,25.458413547599072,4.106633611518249,5,0.92,0.8846153846153846,0.9019607843137256,6,1.0,0.7692307692307693,0.8695652173913044,6,1.0,0.7692307692307693,0.8695652173913044,2.6245968341827393
2,2000,106641,39993.27915935178,0.6249727669531251,1.6801333836028684e-06,9.157957194135209e-07,0.54507322356139,1.0,11.485637077400925,3.5834220832158694,5,0.92,0.8846153846153846,0.9019607843137256,3,1.0,0.8846153846153846,0.9387755102040816,3,1.0,0.8846153846153846,0.9387755102040816,2.6963746547698975
2,3500,106641,41995.25110315963,0.6061997627257844,1.6684289299398637e-06,1.0187190758293492e-06,0.6105858376994623,1.0,12.45407332115097,3.558458590354341,4,0.9230769230769231,0.9230769230769231,0.9230769230769231,3,1.0,0.8846153846153846,0.9387755102040816,3,1.0,0.8846153846153846,0.9387755102040816,3.3013172149658203
2,5000,106641,43769.92495686946,0.5895581909690508,1.5811759069013248e-06,9.387908308455206e-07,0.5937295317668326,1.0,11.658342411321064,3.3723635977572837,4,0.9230769230769231,0.9230769230769231,0.9230769230769231,3,1.0,0.8846153846153846,0.9387755102040816,3,1.0,0.8846153846153846,0.9387755102040816,3.157566785812378
3,500,106641,24560.799679970823,0.7696870839548502,5.612015312936513e-06,9.430199656805335e-06,1.680358860580325,1.0,150.0426875136228,11.969418499737253,0,1.0,1.0,1.0,1,1.0,0.9230769230769231,0.9600000000000001,1,1.0,0.9230769230769231,0.9600000000000001,2.7460410594940186
3,1000,106641,30077.61649649451,0.7179544781416668,1.0464453038996805e-05,3.8132116552225824e-05,3.6439665226766054,1.0,693.2896618773132,22.318794730633165,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.5974671840667725
3,2000,106641,29889.045367052477,0.7197227579725202,8.955414106587525e-06,2.9969520145727495e-05,3.3465253297088937,1.0,697.0,19.100286314812003,1,0.9285714285714286,1.0,0.962962962962963,0,1.0,1.0,1.0,0,1.0,1.0,1.0,3.022264003753662
3,3500,106641,34181.12742844047,0.679474803983079,6.547197284254649e-06,1.5852474642372623e-05,2.421261183086117,1.0,252.9208983006686,13.963993311804002,1,0.9285714285714286,1.0,0.962962962962963,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.6076290607452393
3,5000,106641,39490.88093499808,0.629683883918961,4.985707309794014e-06,1.2403975392304174e-05,2.487906854848374,1.0,278.7953532153546,10.633616264474869,1,0.9285714285714286,1.0,0.962962962962963,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.605327844619751
4,500,106641,29888.985819201793,0.7197233163679843,3.861041566027273e-06,5.974857995316423e-06,1.5474731087819165,1.0,92.02091815563828,8.234906672854287,2,0.875,1.0,0.9333333333333333,1,1.0,0.9285714285714286,0.962962962962963,1,1.0,0.9285714285714286,0.962962962962963,2.6528120040893555
4,1000,106641,30694.45438750517,0.7121702310789924,4.788218381756529e-06,1.223264896932561e-05,2.554739152235186,1.0,298.8734580985648,10.21240792897796,0,1.0,1.0,1.0,1,1.0,0.9285714285714286,0.962962962962963,0,1.0,1.0,1.0,2.7829880714416504
4,2000,106641,35830.985507049096,0.664003661752524,6.953598165168831e-06,2.8564655338233678e-05,4.107895604511127,1.0,697.0,14.830773238635386,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.6406500339508057
4,3500,106641,38122.85686838432,0.6425121963561452,4.995723285082001e-06,1.333761276586188e-05,2.6698061531330297,1.0,251.03582820653136,10.65497853688859,3,0.8235294117647058,1.0,0.9032258064516129,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.861677885055542
4,5000,106641,43308.26733215802,0.5938872728860567,5.710730533426084e-06,1.6366515975993176e-05,2.8659233490700675,1.0,242.19362295518567,12.179960296301818,1,0.9333333333333333,1.0,0.9655172413793104,0,1.0,1.0,1.0,0,1.0,1.0,1.0,3.3523011207580566
5,500,106641,37902.04976176641,0.6445827612103562,5.2590534357036895e-06,2.724989999354403e-05,5.1815217941207035,1.0,697.0,11.216614348737542,3,1.0,0.85,0.9189189189189189,7,0.9333333333333333,0.7,0.8,6,0.9375,0.75,0.8333333333333334,3.226680040359497
